"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2022"
"030102a Grünerløkka";"82 years";86
"030102a Grünerløkka";"83 years";43
"030102a Grünerløkka";"84 years";61
"030102a Grünerløkka";"85 years";31
"030102a Grünerløkka";"86 years";32
"030102a Grünerløkka";"87 years";41
"030102a Grünerløkka";"88 years";25
"030102a Grünerløkka";"89 years";30
"030102a Grünerløkka";"90 years";26
"030102a Grünerløkka";"91 years";20
"030102a Grünerløkka";"92 years";28
"030102a Grünerløkka";"93 years";23
"030102a Grünerløkka";"94 years";11
"030102a Grünerløkka";"95 years";11
"030102a Grünerløkka";"96 years";7
"030102a Grünerløkka";"97 years";9
"030102a Grünerløkka";"98 years";8
"030102a Grünerløkka";"99 years";5
"030102a Grünerløkka";"100 years";2
"030102a Grünerløkka";"101 years";1
"030102a Grünerløkka";"102 years";5
"030102a Grünerløkka";"103 years";1
"030102a Grünerløkka";"104 years";3
"030102a Grünerløkka";"105 years or older";3
"030103a Sagene";"0 years";821
"030103a Sagene";"1 year";623
"030103a Sagene";"2 years";513
"030103a Sagene";"3 years";460
"030103a Sagene";"4 years";402
"030103a Sagene";"5 years";376
"030103a Sagene";"6 years";341
"030103a Sagene";"7 years";339
"030103a Sagene";"8 years";304
"030103a Sagene";"9 years";296
"030103a Sagene";"10 years";298
"030103a Sagene";"11 years";250
"030103a Sagene";"12 years";229
"030103a Sagene";"13 years";234
"030103a Sagene";"14 years";201
"030103a Sagene";"15 years";175
"030103a Sagene";"16 years";203
"030103a Sagene";"17 years";200
"030103a Sagene";"18 years";205
"030103a Sagene";"19 years";292
"030103a Sagene";"20 years";416
"030103a Sagene";"21 years";590
"030103a Sagene";"22 years";733
"030103a Sagene";"23 years";895
"030103a Sagene";"24 years";1083
"030103a Sagene";"25 years";1390
"030103a Sagene";"26 years";1691
"030103a Sagene";"27 years";1733
"030103a Sagene";"28 years";1884
"030103a Sagene";"29 years";1812
"030103a Sagene";"30 years";1830
"030103a Sagene";"31 years";1801
"030103a Sagene";"32 years";1672
"030103a Sagene";"33 years";1453
"030103a Sagene";"34 years";1269
"030103a Sagene";"35 years";1168
"030103a Sagene";"36 years";1014
"030103a Sagene";"37 years";970
"030103a Sagene";"38 years";827
"030103a Sagene";"39 years";802
"030103a Sagene";"40 years";741
"030103a Sagene";"41 years";666
"030103a Sagene";"42 years";666
"030103a Sagene";"43 years";574
"030103a Sagene";"44 years";506
"030103a Sagene";"45 years";505
"030103a Sagene";"46 years";497
"030103a Sagene";"47 years";509
