"region"	"age"	"Persons 2020"
"K-3005 Drammen"	"13 years"	1257
"K-3005 Drammen"	"14 years"	1287
"K-3005 Drammen"	"15 years"	1259
"K-3005 Drammen"	"16 years"	1243
"K-3005 Drammen"	"17 years"	1175
"K-3005 Drammen"	"18 years"	1214
"K-3005 Drammen"	"19 years"	1229
"K-3005 Drammen"	"20 years"	1214
"K-3005 Drammen"	"21 years"	1116
"K-3005 Drammen"	"22 years"	1182
"K-3005 Drammen"	"23 years"	1115
"K-3005 Drammen"	"24 years"	1225
"K-3005 Drammen"	"25 years"	1241
"K-3005 Drammen"	"26 years"	1287
"K-3005 Drammen"	"27 years"	1308
"K-3005 Drammen"	"28 years"	1353
"K-3005 Drammen"	"29 years"	1467
"K-3005 Drammen"	"30 years"	1401
"K-3005 Drammen"	"31 years"	1394
"K-3005 Drammen"	"32 years"	1427
"K-3005 Drammen"	"33 years"	1389
"K-3005 Drammen"	"34 years"	1439
"K-3005 Drammen"	"35 years"	1405
"K-3005 Drammen"	"36 years"	1359
"K-3005 Drammen"	"37 years"	1396
"K-3005 Drammen"	"38 years"	1344
"K-3005 Drammen"	"39 years"	1403
"K-3005 Drammen"	"40 years"	1365
"K-3005 Drammen"	"41 years"	1386
"K-3005 Drammen"	"42 years"	1381
"K-3005 Drammen"	"43 years"	1399
"K-3005 Drammen"	"44 years"	1450
"K-3005 Drammen"	"45 years"	1516
"K-3005 Drammen"	"46 years"	1500
"K-3005 Drammen"	"47 years"	1542
"K-3005 Drammen"	"48 years"	1521
"K-3005 Drammen"	"49 years"	1499
"K-3005 Drammen"	"50 years"	1536
"K-3005 Drammen"	"51 years"	1511
"K-3005 Drammen"	"52 years"	1427
"K-3005 Drammen"	"53 years"	1360
"K-3005 Drammen"	"54 years"	1368
"K-3005 Drammen"	"55 years"	1325
"K-3005 Drammen"	"56 years"	1240
"K-3005 Drammen"	"57 years"	1246
"K-3005 Drammen"	"58 years"	1191
"K-3005 Drammen"	"59 years"	1197
"K-3005 Drammen"	"60 years"	1162
"K-3005 Drammen"	"61 years"	1108
"K-3005 Drammen"	"62 years"	1087
"K-3005 Drammen"	"63 years"	1112
"K-3005 Drammen"	"64 years"	1102
"K-3005 Drammen"	"65 years"	1046
"K-3005 Drammen"	"66 years"	1049
"K-3005 Drammen"	"67 years"	987
"K-3005 Drammen"	"68 years"	916
"K-3005 Drammen"	"69 years"	945
"K-3005 Drammen"	"70 years"	961
"K-3005 Drammen"	"71 years"	1013
"K-3005 Drammen"	"72 years"	1060
"K-3005 Drammen"	"73 years"	1117
"K-3005 Drammen"	"74 years"	1003
"K-3005 Drammen"	"75 years"	933
"K-3005 Drammen"	"76 years"	709
"K-3005 Drammen"	"77 years"	652
"K-3005 Drammen"	"78 years"	569
"K-3005 Drammen"	"79 years"	527
"K-3005 Drammen"	"80 years"	538
"K-3005 Drammen"	"81 years"	489
"K-3005 Drammen"	"82 years"	461
"K-3005 Drammen"	"83 years"	391
"K-3005 Drammen"	"84 years"	345
"K-3005 Drammen"	"85 years"	336
"K-3005 Drammen"	"86 years"	287
"K-3005 Drammen"	"87 years"	247
"K-3005 Drammen"	"88 years"	233
"K-3005 Drammen"	"89 years"	219
"K-3005 Drammen"	"90 years"	177
"K-3005 Drammen"	"91 years"	149
"K-3005 Drammen"	"92 years"	115
"K-3005 Drammen"	"93 years"	90
"K-3005 Drammen"	"94 years"	83
"K-3005 Drammen"	"95 years"	54
"K-3005 Drammen"	"96 years"	45
"K-3005 Drammen"	"97 years"	32
"K-3005 Drammen"	"98 years"	21
"K-3005 Drammen"	"99 years"	17
"K-3005 Drammen"	"100 years"	5
"K-3005 Drammen"	"101 years"	4
"K-3005 Drammen"	"102 years"	2
"K-3005 Drammen"	"103 years"	3
"K-3005 Drammen"	"104 years"	1
"K-3005 Drammen"	"105 years or older"	0
"K-3006 Kongsberg"	"0 years"	216
"K-3006 Kongsberg"	"1 year"	256
"K-3006 Kongsberg"	"2 years"	273
