"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2021"
"030104a St. Hanshaugen";"56 years";298
"030104a St. Hanshaugen";"57 years";282
"030104a St. Hanshaugen";"58 years";327
"030104a St. Hanshaugen";"59 years";278
"030104a St. Hanshaugen";"60 years";265
"030104a St. Hanshaugen";"61 years";282
"030104a St. Hanshaugen";"62 years";254
"030104a St. Hanshaugen";"63 years";260
"030104a St. Hanshaugen";"64 years";217
"030104a St. Hanshaugen";"65 years";226
"030104a St. Hanshaugen";"66 years";215
"030104a St. Hanshaugen";"67 years";211
"030104a St. Hanshaugen";"68 years";211
"030104a St. Hanshaugen";"69 years";195
"030104a St. Hanshaugen";"70 years";180
"030104a St. Hanshaugen";"71 years";188
"030104a St. Hanshaugen";"72 years";178
"030104a St. Hanshaugen";"73 years";201
"030104a St. Hanshaugen";"74 years";191
"030104a St. Hanshaugen";"75 years";152
"030104a St. Hanshaugen";"76 years";146
"030104a St. Hanshaugen";"77 years";109
"030104a St. Hanshaugen";"78 years";119
"030104a St. Hanshaugen";"79 years";86
"030104a St. Hanshaugen";"80 years";103
"030104a St. Hanshaugen";"81 years";98
"030104a St. Hanshaugen";"82 years";86
"030104a St. Hanshaugen";"83 years";61
"030104a St. Hanshaugen";"84 years";53
"030104a St. Hanshaugen";"85 years";48
"030104a St. Hanshaugen";"86 years";41
"030104a St. Hanshaugen";"87 years";48
"030104a St. Hanshaugen";"88 years";30
"030104a St. Hanshaugen";"89 years";43
"030104a St. Hanshaugen";"90 years";32
"030104a St. Hanshaugen";"91 years";18
"030104a St. Hanshaugen";"92 years";27
"030104a St. Hanshaugen";"93 years";12
"030104a St. Hanshaugen";"94 years";21
"030104a St. Hanshaugen";"95 years";11
"030104a St. Hanshaugen";"96 years";13
"030104a St. Hanshaugen";"97 years";13
"030104a St. Hanshaugen";"98 years";10
"030104a St. Hanshaugen";"99 years";10
"030104a St. Hanshaugen";"100 years";7
"030104a St. Hanshaugen";"101 years";2
"030104a St. Hanshaugen";"102 years";3
"030104a St. Hanshaugen";"103 years";3
"030104a St. Hanshaugen";"104 years";3
"030104a St. Hanshaugen";"105 years or older";4
"030105a Frogner";"0 years";566
"030105a Frogner";"1 year";481
"030105a Frogner";"2 years";414
"030105a Frogner";"3 years";414
"030105a Frogner";"4 years";376
"030105a Frogner";"5 years";349
"030105a Frogner";"6 years";363
"030105a Frogner";"7 years";332
"030105a Frogner";"8 years";332
"030105a Frogner";"9 years";328
"030105a Frogner";"10 years";333
"030105a Frogner";"11 years";346
"030105a Frogner";"12 years";302
"030105a Frogner";"13 years";329
"030105a Frogner";"14 years";324
"030105a Frogner";"15 years";310
"030105a Frogner";"16 years";327
"030105a Frogner";"17 years";334
"030105a Frogner";"18 years";336
"030105a Frogner";"19 years";393
"030105a Frogner";"20 years";677
"030105a Frogner";"21 years";888
"030105a Frogner";"22 years";1050
"030105a Frogner";"23 years";1251
"030105a Frogner";"24 years";1479
"030105a Frogner";"25 years";1727
"030105a Frogner";"26 years";1881
"030105a Frogner";"27 years";1891
"030105a Frogner";"28 years";1938
"030105a Frogner";"29 years";1788
"030105a Frogner";"30 years";1716
"030105a Frogner";"31 years";1640
"030105a Frogner";"32 years";1443
"030105a Frogner";"33 years";1303
"030105a Frogner";"34 years";1138
"030105a Frogner";"35 years";1051
"030105a Frogner";"36 years";977
"030105a Frogner";"37 years";882
"030105a Frogner";"38 years";901
"030105a Frogner";"39 years";806
"030105a Frogner";"40 years";747
"030105a Frogner";"41 years";783
"030105a Frogner";"42 years";689
"030105a Frogner";"43 years";662
"030105a Frogner";"44 years";667
"030105a Frogner";"45 years";654
"030105a Frogner";"46 years";653
"030105a Frogner";"47 years";622
"030105a Frogner";"48 years";707
"030105a Frogner";"49 years";653
"030105a Frogner";"50 years";671
"030105a Frogner";"51 years";689
"030105a Frogner";"52 years";715
"030105a Frogner";"53 years";712
"030105a Frogner";"54 years";723
"030105a Frogner";"55 years";679
"030105a Frogner";"56 years";700
"030105a Frogner";"57 years";670
"030105a Frogner";"58 years";666
"030105a Frogner";"59 years";561
"030105a Frogner";"60 years";607
"030105a Frogner";"61 years";583
"030105a Frogner";"62 years";551
"030105a Frogner";"63 years";547
"030105a Frogner";"64 years";520
"030105a Frogner";"65 years";493
"030105a Frogner";"66 years";511
"030105a Frogner";"67 years";470
"030105a Frogner";"68 years";453
"030105a Frogner";"69 years";471
"030105a Frogner";"70 years";473
"030105a Frogner";"71 years";445
"030105a Frogner";"72 years";482
"030105a Frogner";"73 years";505
"030105a Frogner";"74 years";547
"030105a Frogner";"75 years";459
"030105a Frogner";"76 years";420
"030105a Frogner";"77 years";422
"030105a Frogner";"78 years";278
"030105a Frogner";"79 years";261
"030105a Frogner";"80 years";273
"030105a Frogner";"81 years";258
"030105a Frogner";"82 years";233
"030105a Frogner";"83 years";194
"030105a Frogner";"84 years";165
"030105a Frogner";"85 years";153
"030105a Frogner";"86 years";135
"030105a Frogner";"87 years";123
"030105a Frogner";"88 years";92
"030105a Frogner";"89 years";101
"030105a Frogner";"90 years";93
"030105a Frogner";"91 years";74
"030105a Frogner";"92 years";63
